Date,Active Energy (kcal),Apple Exercise Time (min),Apple Sleeping Wrist Temperature (ºF),Apple Stand Hour (hours),Apple Stand Time (min),Blood Oxygen Saturation (%),Flights Climbed (count),Headphone Audio Exposure (dBASPL),Heart Rate [Min] (bpm),Heart Rate [Max] (bpm),Heart Rate [Avg] (bpm),Heart Rate Variability (ms),Respiratory Rate (count/min),Resting Energy (kcal),Resting Heart Rate (bpm),Sleep Analysis [Core] (hr),Sleep Analysis [Deep] (hr),Sleep Analysis [REM] (hr),Sleep Analysis [Awake] (hr),Step Count (steps),Walking Double Support Percentage (%),Walking Heart Rate Average (bpm),Walking Speed (mi/hr) ,Total Sleep
2024-09-19 00:00:00,462.52,50,,15,144,96.71,15,69.19,48,133,63.7,66.16,13.16,1816,54,4.683333333333330,1.2166666666666700,1.4666666666666700,0.6583333333333330,10899,27.68,98,2.74,7.566
2024-09-20 00:00:00,232.88,19,96.55,8,74,97.45,5,62.64,48,123,63.28,65.85,12.52,1791,65,,,,,8292,28.18,114,2.71,5.083
2024-09-21 00:00:00,267.82,23,,8,81,98.06,8,61.71,50,121,65.17,59.43,12.49,1808,52,4.966666666666670,0.6916666666666670,1.25,0.8,7298,27.89,101,2.74,8.066
2024-09-22 00:00:00,390.33,26,96.91,10,96,97.44,4,62.54,49,125,63.64,62.9,13.05,1869,53,,,,,5638,27.9,119,2.79,8
2024-09-23 00:00:00,676.8,33,,16,217,97.24,4,62.65,50,125,68.82,64.09,12.8,1973,54,4.783333333333330,0.65,1.2000000000000000,0.6500000000000000,9599,28.22,90,2.66,8.83
2024-09-24 00:00:00,481.88,21,97.11,15,155,96.21,7,63.72,52,120,70.53,80.32,12.77,1874,59,3.4500000000000000,0.7416666666666670,1.7333333333333300,0.45,10221,28.16,108,2.72,6.716
2024-09-25 00:00:00,631.51,31,96.78,17,190,97.15,4,64.86,49,132,65.85,62.55,12.86,1960,54,3.8833333333333300,1.3083333333333300,1.1916666666666700,0.7416666666666670,8990,27.68,,2.65,8.633
2024-09-26 00:00:00,466.93,25,,14,184,96.85,6,69.63,50,107,65.54,48.93,12.94,1877,61,5.008333333333330,1.125,1.7250000000000000,0.29166666666666700,9075,27.92,100,2.68,8.05
2024-09-27 00:00:00,565.49,26,,16,164,97.67,6,58.83,55,109,68.67,61.05,13.18,1933,57,3.8083333333333300,0.8583333333333330,1.5166666666666700,0.10833333333333300,7560,27.85,91.5,2.75,6.483
2024-09-28 00:00:00,535.32,37,96.68,16,180,97.55,6,56.69,49,105,64.29,74.03,12.51,1888,60,5.466666666666670,0.5166666666666670,2.291666666666670,0.8833333333333330,9679,28.23,78.5,2.7,8.16
2024-09-29 00:00:00,311.29,18,96.76,11,91,97.85,8,56.04,50,115,60.69,57.03,12.62,1832,59,5.408333333333330,1.1333333333333300,2.4416666666666700,0.5500000000000000,5847,27.07,94.5,3,9.2
2024-09-30 00:00:00,632.73,41,96.02,13,178,97.25,6,53.83,49,146,66.45,76.71,12.39,1943,61,4.2750000000000000,0.7583333333333330,0.9666666666666670,0.7166666666666670,8633,28.3,98,2.67,6.383
2024-10-01 00:00:00,540.7,11,96.85,13,207,96.44,6,68.21,48,101,65.13,50.98,12.68,1900,59,4.308333333333330,0.9500000000000000,2.2583333333333300,0.5666666666666670,14482,27.97,65,2.65,7.9
2024-10-02 00:00:00,701.42,71,,18,209,96.53,12,65.21,47,178,78.01,56.92,12.18,1892,66,4.583333333333330,0.9416666666666670,1.2916666666666700,0.21666666666666700,14911,27.71,97,2.77,7.183
2024-10-03 00:00:00,427.31,28,,14,107,97.35,6,54.62,51,103,65.11,60.52,12.42,1872,54,4.716666666666670,0.9583333333333340,1.4166666666666700,0.5583333333333340,5451,28.16,86,2.75,9
2024-10-04 00:00:00,555.82,30,,13,157,97.8,5,57.54,59,111,76.28,51.81,13.8,1936,65,,,,,7884,28.49,91,2.58,NA
2024-10-05 00:00:00,514.16,42,,15,150,97.24,9,53.16,51,97,70.25,58.57,13.23,1876,60,5.9000000000000000,1.9,2.125,0.5583333333333340,7139,27.92,,2.76,10.6
2024-10-06 00:00:00,493.62,29,97.01,14,163,97.28,10,69.61,50,110,71.53,61.6,13.15,1880,67,5.075,0.7583333333333330,1.2333333333333300,0.41666666666666700,9435,27.92,92.5,2.8,7.583
2024-10-07 00:00:00,565.62,37,96.59,15,168,97.11,10,57.52,52,109,73.71,55.53,12.79,1930,65,4.966666666666670,0.7833333333333330,1.725,0.525,6982,28.35,91.5,2.51,8.0667
2024-10-08 00:00:00,573.87,27,,17,209,97.19,10,58.99,52,92,64.85,76.81,12.43,1909,54,5.441666666666670,1.3916666666666700,1.9250000000000000,0.35833333333333300,10715,27.98,83,2.59,8.783
2024-10-09 00:00:00,378.13,39,96.37,13,116,97.24,11,71.75,49,139,60.93,73.62,12.38,1820,53,4.158333333333330,1.1666666666666700,2.1916666666666700,0.225,9096,27.62,83,2.7,7.667
2024-10-10 00:00:00,483.18,40,96.5,13,158,97,11,58.75,49,98,63.09,56.4,12.85,1870,53,5.5,0.9,1.9166666666666700,0.3416666666666670,7382,27.46,81,2.89,8.73
2024-10-11 00:00:00,771.15,49,,19,251,97.22,9,61.55,51,111,68.68,74.34,13.19,1967,63,2.6833333333333300,0.8083333333333330,0.9416666666666670,0.16666666666666700,13085,27.46,84.5,2.86,5.1
2024-10-12 00:00:00,623.05,53,96.46,15,158,97,23,58.41,47,114,63.62,68.15,11.99,1925,53,5.291666666666670,0.6833333333333330,2.2083333333333300,0.16666666666666700,9866,27.39,94,2.86,9.0667
2024-10-13 00:00:00,517.79,23,,15,134,97.12,5,54.94,48,107,61.89,71.5,12.31,1913,52,5.325000000000000,0.7083333333333330,1.7,0.5833333333333330,8815,27.13,81,2.99,7.16
2024-10-14 00:00:00,762.35,80,96.64,18,216,98.64,10,60.01,47,108,67.67,52.98,13.97,1935,48,2.5,0.9666666666666670,0.6166666666666670,0.125,15465,26.91,84,2.85,4.4
2024-10-15 00:00:00,537.64,34,,14,149,97.19,6,65.72,46,113,62.25,74.75,12.5,1898,49,5.041666666666670,1.1,2.05,0.3,8933,27.66,,2.84,8.183
2024-10-16 00:00:00,354.42,15,,12,74,98.78,3,59.32,52,87,63.91,72.34,15.25,1871,59,,,,,4437,27.66,73,2.77,NA
2024-10-17 00:00:00,450.85,32,96.91,14,105,97.05,7,57.38,50,193,72.75,61.88,12.32,1844,54,5.175000000000000,1.1666666666666700,2.35,0.30833333333333300,8074,27.2,,2.81,9.583
2024-10-18 00:00:00,525.61,22,97.05,15,131,97.36,3,57.73,52,97,64.43,63.28,12.33,1926,54,4.75,0.7833333333333330,1.7083333333333300,0.025,6077,27.09,86,2.73,7.816
2024-10-19 00:00:00,475.99,29,96.4,16,132,97.93,5,56.17,49,107,64.36,63.61,11.8,1892,51,5.483333333333330,0.6083333333333330,1.2833333333333300,0.5916666666666670,7052,27.51,75,2.77,7.5
2024-10-20 00:00:00,641.31,41,97.17,18,172,97.85,9,49.54,47,93,62.2,80.29,12.82,1933,55,3.908333333333330,0.9583333333333330,2.1833333333333300,0.24166666666666700,10456,27.85,90.5,2.59,7.816
2024-10-21 00:00:00,537.66,31,,17,133,97.59,8,63.72,46,101,65,53.32,13.06,1921,52,4.85,1.1333333333333300,2.1250000000000000,0.3583333333333330,6568,27.84,96,2.64,8.133
2024-10-22 00:00:00,610.95,43,96.52,17,194,97.59,15.43,61.01,51,128,65.74,55.6,13.05,1905,61,3.1166666666666700,1.3333333333333300,0.8,0.475,10627,27.83,,2.64,5.267
2024-10-23 00:00:00,889.58,62,97.09,16,290,97.05,9,60.57,48,196,79.6,47.36,12.31,1964,67,5.375,0.7916666666666670,1.5666666666666700,0.675,14326,27.13,126.5,2.84,7.75
2024-10-24 00:00:00,430.5,27,96.48,12,108,97.06,15,55.49,49,111,62.89,76.39,12.93,1875,53,5.775,1.3000000000000000,2.175,0.5583333333333330,9169,27.62,89.5,2.78,9.3
2024-10-25 00:00:00,594.93,19,,16,166,97.47,2,63.79,44,144,64.46,76.99,12.66,1948,52,4.583333333333330,0.8916666666666670,1.65,0.6250000000000000,8056,28.07,86,2.62,7.2
2024-10-26 00:00:00,587.24,25,,17,190,96.6,6,50.99,52,144,66.25,66.36,13.14,1949,56,3.5000000000000000,0.9,1.725,0.20833333333333300,9385,27.63,,2.73,6.266
2024-10-27 00:00:00,486.75,22,96.6,13,137,97.22,9.09,47.28,45,114,58.13,68.8,12.66,1909,50.5,5.075000000000000,1.2333333333333300,2.475,0.38333333333333300,8171,27.95,82,2.49,8.966
2024-10-28 00:00:00,538.84,25,,14,132,97.86,7,61.26,45,99,59.83,72.58,13.11,1933,48,4.883333333333340,1.0333333333333300,1.2166666666666700,0.7833333333333330,6848,27.51,79.5,2.74,7.25
2024-10-29 00:00:00,614.07,92,96.54,17,211,97.4,9,63.4,47,147,76.79,50.6,12.68,1901,52,5.333333333333330,0.7166666666666670,2.7,0.4333333333333330,10450,27.48,86,2.86,8.966
2024-10-30 00:00:00,435.7,10,96.57,15,106,96.95,4,66.39,43,101,62.13,57.97,12.57,1904,50.5,5.183333333333330,0.9750000000000000,1.3666666666666700,0.7083333333333340,5822,27.93,,2.71,8.633
